410,411,412,413,414,415,0,0,0,0,0,0,0,0,0,0,0
412,413,414,415,416,416,0,0,0,0,0,0,0,0,0,0,0
412,413,414,415,416,417,0,0,0,0,0,0,0,0,0,0,0
820,417,418,419,420,820,0,0,0,0,0,1,0,0,0,0,0
821,418,419,410,411,821,0,0,0,0,0,1,0,0,0,0,0
822,419,420,411,412,822,0,0,0,0,0,1,0,0,0,0,0
410,411,412,413,414,415,0,0,0,0,0,0,0,0,0,0,0
412,413,414,415,416,416,0,0,0,0,0,0,0,0,0,0,0
412,413,414,415,416,417,0,0,0,0,0,0,0,0,0,0,0
823,420,411,412,413,823,0,0,0,0,0,1,0,0,0,0,0
824,411,412,413,414,824,0,0,0,0,0,1,0,0,0,0,0
825,412,413,414,415,825,0,0,0,0,0,1,0,0,0,0,0
826,413,414,415,416,826,0,0,0,0,0,1,0,0,0,0,0
827,414,415,416,417,827,0,0,0,0,0,1,0,0,0,0,0
828,415,416,417,418,828,0,0,0,0,0,1,0,0,0,0,0
829,416,417,418,419,829,0,0,0,0,0,1,0,0,0,0,0
410,411,412,413,414,415,0,0,0,0,0,0,0,0,0,0,0
411,412,413,414,415,416,0,0,0,0,0,0,0,0,0,0,0
412,413,414,415,416,417,0,0,0,0,0,0,0,0,0,0,0
413,414,415,416,417,418,0,0,0,0,0,0,0,0,0,0,0
414,415,416,417,418,419,0,0,0,0,0,0,0,0,0,0,0
